아파트ID,아파트명,지번주소,위도,경도,동수,세대수,임대수,용적률,건폐율,주차대수,건설사
146479,YH빌리지,서울시 강남구 개포동 1237-8,37.478247,127.04667,1,16,0,297,59,9,(주)세담종합건설
881,개포더샵트리에,서울시 강남구 개포동 651-1,37.484809,127.057097,2,232,0,355,30,305,(주)포스코건설
119219,개포래미안포레스트,서울시 강남구 개포동 1282,37.478448,127.054031,31,2296,120,249,21,3961,삼성물산(주)
140057,개포비버리하임(도시형),서울시 강남구 개포동 1193-5,37.474555,127.049412,2,29,0,199,57,30,(주)덕인컨스텍
107513,개포상지리츠빌,서울시 강남구 개포동 176-1,37.487257,127.060199,1,18,0,202,31,41,상지건영(주)
8928,개포자이,서울시 강남구 개포동 12-2,37.496437,127.077115,4,212,0,250,18,502,LG건설(주)
145017,개포자이르네,서울시 강남구 개포동 1283,37.478654,127.055232,1,28,0,199,57,38,자이에스앤디(주)
128527,개포자이프레지던스,서울시 강남구 개포동 189번지 일원,37.485251,127.07162,35,3375,220,249,18,5881,GS건설(주)
1298,개포주공5단지,서울시 강남구 개포동 187,37.487788,127.068006,6,940,0,151,12,912,대한주택공사
1303,개포주공6단지,서울시 강남구 개포동 185,37.488645,127.070472,9,1060,0,0,0,300,대한주택공사
1307,개포주공7단지,서울시 강남구 개포동 185,37.489561,127.072416,8,900,0,0,0,400,대한주택공사
103385,개포현대(200동),서울시 강남구 개포동 655-1,37.481772,127.052579,1,72,0,157,17,0,현대건설
10329,개포현대2차(220동),서울시 강남구 개포동 655-2,37.481215,127.052733,1,54,0,185,20,0,현대산업개발(주)
8967,개포현대5차,서울시 강남구 개포동 172-3,37.484319,127.060077,1,18,0,167,24,23,현대건설(주)
10863,개포현대6차,서울시 강남구 개포동 1242-2,37.479759,127.046004,1,19,0,238,42,19,현대산업개발(주)
28,경남,서울시 강남구 개포동 649,37.484623,127.054115,9,678,0,0,0,816,경남기업
127927,그루(주상복합),서울시 강남구 개포동 1229-6,37.47713,127.045622,1,20,0,359,58,21,주식회사에이치엠건설
152745,노블레스빌(도시형),서울시 강남구 개포동 1195-3,37.474849,127.048625,1,14,0,199,59,8,(주)지에스엠건설
118254,뉴현대파크빌,서울시 강남구 개포동 1164-30,37.474809,127.054818,1,10,0,231,49,10,남석건설(주)
419,대청,서울시 강남구 개포동 12,37.495077,127.077121,6,822,0,201,15,700,삼익건설(주)
483,대치2단지,서울시 강남구 개포동 12,37.494658,127.075486,11,1758,0,0,0,1758,"진덕산업(주),성원건설(주)"
166660,대치푸르지오발라드(도시형),서울시 강남구 개포동 176-2,37.487235,127.060511,1,78,0,199,32,90,(주)대우에스티
14947,더샵그린,서울시 강남구 개포동 1167,37.4733,127.052369,1,19,0,192,23,38,포스코개발주식회사
113151,디에이치아너힐즈,서울시 강남구 개포동 1281,37.484658,127.067248,23,1320,85,249,19,2120,현대건설(주)
134062,디에이치퍼스티어아이파크,서울시 강남구 개포동 660-1,37.480393,127.057099,74,6702,393,249,19,13154,"현대건설(주), 현대산업개발"
163642,라온(도시형),서울시 강남구 개포동 1169-5,37.47253,127.050983,1,10,0,199,57,8,(주)우영건설
112228,래미안블레스티지,서울시 강남구 개포동 1280,37.481058,127.064178,23,1957,112,249,18,3153,삼성물산
146839,런던빌개포,서울시 강남구 개포동 1194-1,37.474952,127.047937,1,15,0,249,49,13,(주)브릭스건설
104598,렉스힐(주상복합),서울시 강남구 개포동 157-9,37.483005,127.062547,1,8,0,358,59,7,대은종합건설 주식회사
102805,리더스,서울시 강남구 개포동 1164-25,37.474466,127.054806,1,10,0,259,53,11,(주)강남종합건설
11078,새롬,서울시 강남구 개포동 1164-14,37.47326,127.052901,3,41,0,0,0,12,
16228,쌍용개포(주상복합),서울시 강남구 개포동 655-3,37.481127,127.053085,1,16,0,291,44,37,쌍용건설(주)
124917,에버그린(주상복합),서울시 강남구 개포동 166-4,37.482932,127.061271,1,9,0,311,59,9,해청종합건설(주)
152528,예가풍경채(도시형),서울시 강남구 개포동 1218-12,37.477122,127.049481,1,14,0,198,59,8,(주)지앤지종합건설
667,우성3차,서울시 강남구 개포동 652,37.483998,127.056011,5,405,0,179,15,450,우성건설(주)
770,우성6차,서울시 강남구 개포동 658-1,37.476763,127.05721,8,270,0,106,21,270,우성건설(주)
818,우성8차,서울시 강남구 개포동 179,37.488147,127.062246,3,261,0,192,22,138,우성건설(주)
