stdYymm,nationCode,mprcExipitmCode,imxprtSeCode,nationNm,ecoblNm,mprcExipitmNm,imxprtSeNm,imxprtWt,imxprtDollarAmount
202501,JP,1604161000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,멸치(조제/밀폐용기에 넣은 것),수입,.141,48
202501,JP,1605569010,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"클램, 새조개 및 피조개 기타(조제 또는 저장처리)(밀폐용기에 넣은 것)",수입,.248,6
202501,JP,1605571000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,전복(밀폐용기에넣은것),수출,1504,63487
202501,JP,1605579000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,전복(조제 또는 저장처리) 기타,수출,100,6063
202501,JP,1604169000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,전갱이(조제/밀폐용기에 넣은 것 이외 기타),수출,16790,232459
202501,JP,1604169000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,전갱이(조제/밀폐용기에 넣은 것 이외 기타),수입,1.8,73
202501,JP,1605569090,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"클램, 새조개 및 피조개 기타(조제 또는 저장처리)(기타)",수입,.56,43
202501,JP,1604141029,E,일본,아시아.태평양 경제협력체/경제협력개발기구,가다랭이(기타),수출,16800,82688
202501,JP,0307911000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,소라(산 것 신선 또는 냉장한 것),수출,149960,545168
202501,JP,2102204090,E,일본,아시아.태평양 경제협력체/경제협력개발기구,스리루리나 효모(기타),수출,7.373,2035
202501,JP,0106199000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,기타 포유동물,수출,98,2793
202501,JP,0106199000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,기타 포유동물,수입,716.531,124059
202501,JP,0210999090,I,일본,아시아.태평양 경제협력체/경제협력개발기구,기타 육·설육,수입,.21,8
202501,JP,2008995010,E,일본,아시아.태평양 경제협력체/경제협력개발기구,김,수출,291638.192,7247958
202501,JP,2008995010,I,일본,아시아.태평양 경제협력체/경제협력개발기구,김,수입,886.976,52278
202501,JP,0301994091,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"돔(기타, 참돔)",수입,168707,1247590
202501,JP,0301994099,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"돔(기타, 기타)",수입,5845,71411
202501,JP,0307219000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"가리비과의조개 기타(산것, 신선, 냉장) - 펙텐, 클라미스, 프라코펙텐 속의 것 제외",수입,423196,2322875
202501,JP,0307299000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,기타 가리비과의조개(기타),수입,.5,57
202501,JP,1605520000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,"가리비과의조개(조제,저장/기타, 밀폐용기에 넣은 것 포함)",수출,600,5028
202501,JP,1605520000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"가리비과의조개(조제,저장/기타, 밀폐용기에 넣은 것 포함)",수입,206.686,20759
202501,JP,1605550000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,"문어, 기타조제저장처리문어(밀폐용기에넣은것 포함, 밀폐용기이외)",수출,2480.52,18976
202501,JP,1605550000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"문어, 기타조제저장처리문어(밀폐용기에넣은것 포함, 밀폐용기이외)",수입,2400,31866
202501,JP,1605690000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,"기타조제저장처리수생무척추동물(밀폐용기에넣은것 포함, 밀폐용기에 넣지 않은 것)-해삼,성게,해파리제외",수출,80,888
202501,JP,1605690000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"기타조제저장처리수생무척추동물(밀폐용기에넣은것 포함, 밀폐용기에 넣지 않은 것)-해삼,성게,해파리제외",수입,5.6,247
202501,JP,0307229000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,가리비과의조개(냉동),수입,50621.2,614430
202501,JP,0303391000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,기타넙치류(냉동),수입,43500,35613
202501,JP,2008995090,E,일본,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제외,수출,13244,19689
202501,JP,2008995090,I,일본,아시아.태평양 경제협력체/경제협력개발기구,조제한 해조류 김 제외,수입,1178.731,27646
202501,JP,0307929000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수입,22990,31124
202501,JP,0302491000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,삼치[스콤버로모러스(Scomberomorus)종],수출,38827.9,189057
202501,JP,0302492000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,병어[팜푸스(Pampus)종],수입,440,5607
202501,JP,0302911000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,간,수출,450,1954
202501,JP,0302990000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수출,20,25
202501,JP,0303591000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,삼치[스콤버로모러스(Scomberomorus)종],수출,207469.7,901530
202501,JP,0303592000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,꽁치[콜로라비스 사이라(Cololabis saira)],수입,4000,4254
202501,JP,0303599000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수출,22354,25059
202501,JP,0303911000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,간,수출,120,1255
202501,JP,0303912090,E,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수출,112.5,521
202501,JP,0303990000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수출,1218.4,11861
202501,JP,0305691000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"연어(염장, 염수장)",수입,3.3,52
202501,JP,0303430000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,가다랑어 또는 줄무늬버니토우(냉동),수출,22779,27731
202501,JP,1605101010,I,일본,아시아.태평양 경제협력체/경제협력개발기구,게살(밀폐용기에넣은것),수입,2.26,81
202501,JP,1605101091,E,일본,아시아.태평양 경제협력체/경제협력개발기구,"붉은 대게살(밀폐용기에 넣은 것, 훈제한 것 이외 기타)",수출,188039.75,1625121
202501,JP,1605101099,E,일본,아시아.태평양 경제협력체/경제협력개발기구,"기타 게살(밀폐용기에 넣은 것, 훈제한 것 이외 기타)",수출,510.618,8990
202501,JP,1605101099,I,일본,아시아.태평양 경제협력체/경제협력개발기구,"기타 게살(밀폐용기에 넣은 것, 훈제한 것 이외 기타)",수입,1.536,60
202501,JP,1605109000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,게 조제품(게살 이외 기타),수출,8600,37595
202501,JP,0302440000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,"고등어(신선 또는 냉장)(스콤버-스콤브루스,오스트랄시쿠스,자포니쿠스))",수출,120,487
202501,JP,1605211000,I,일본,아시아.태평양 경제협력체/경제협력개발기구,새우류(조제 또는 저장처리)(밀폐용기에 넣지 아니한 것)(브레드한 것),수입,1.8,6
202501,JP,0302450000,E,일본,아시아.태평양 경제협력체/경제협력개발기구,전갱이(신선 또는 냉장)(트라커러스종),수출,21168,50019
202501,JP,0307432090,E,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수출,10,18
202501,JP,0307492090,I,일본,아시아.태평양 경제협력체/경제협력개발기구,기타,수입,.8,29
